93HQIJF,nurse,2025-05-12 12:00:09,LOGIN_SUCCESS
93HQIJF,nurse,2025-05-12 12:00:31,count_visits: 2011-08-13
93HQIJF,nurse,2025-05-12 12:17:30,LOGIN_SUCCESS
93HQIJF,nurse,2025-05-12 12:18:42,add_patient: 12387
93HQIJF,nurse,2025-05-12 12:19:06,count_visits: 2025-02-02
W3PHXNA,nurse,2025-05-12 12:22:26,LOGIN_SUCCESS
W3PHXNA,nurse,2025-05-12 12:23:34,LOGIN_SUCCESS
W3PHXNA,nurse,2025-05-12 12:31:24,LOGIN_SUCCESS
W3PHXNA,unknown,2025-05-12 12:35:14,LOGIN_FAILED
W3PHXNA,nurse,2025-05-12 12:35:25,LOGIN_SUCCESS
W3PHXNA,nurse,2025-05-12 12:36:28,retrieve_patient: 965888
W3PHXNA,nurse,2025-05-12 12:51:34,LOGIN_SUCCESS
W3PHXNA,nurse,2025-05-12 12:52:19,add_patient: 12345
W3PHXNA,nurse,2025-05-12 12:52:59,retrieve_patient: 12345
W3PHXNA,nurse,2025-05-12 12:53:14,retrieve_patient: 12345
W3PHXNA,nurse,2025-05-12 12:57:06,LOGIN_SUCCESS
W3PHXNA,nurse,2025-05-12 12:57:34,view_note: 12345 on 05/05/2025
W3PHXNA,nurse,2025-05-12 12:58:36,LOGIN_SUCCESS
W3PHXNA,nurse,2025-05-12 12:58:45,remove_patient: 12345
W3PHXNA,nurse,2025-05-12 12:58:56,count_visits: 2025-05-05
W3PHXNA,nurse,2025-05-12 13:17:42,LOGIN_SUCCESS
W3PHXNA,nurse,2025-05-12 13:22:16,LOGIN_SUCCESS
W3PHXNA,nurse,2025-05-12 13:23:56,LOGIN_SUCCESS
W3PHXNA,nurse,2025-05-12 13:24:10,retrieve_patient: 12345 NOT_FOUND
